price,drivetrain,model,year,province,front_legroom(mm),battery_charge_time(hr),battery_range(km),mileage(km)
32995,All-Wheel Drive,Model Y,2020.0,QC,1062.0,10.0,509.0,137234
27990,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,116750
36980,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,110000
25995,All-Wheel Drive,Model 3,2018.0,QC,1085.0,10.0,499.0,98000
31495,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,61999
36999,All-Wheel Drive,Model 3,2023.0,ON,1085.0,11.5,576.0,105050
26995,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,98458
45000,All-Wheel Drive,Model Y,2020.0,BC,1062.0,10.0,507.0,74450
43879,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,531.0,63787
24890,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,80360
29933,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,100173
33995,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,41051
36800,Rear-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,393.0,93000
27997,Rear-Wheel Drive,Model 3,2019.0,BC,1085.0,10.0,386.0,110400
26480,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,65862
36500,Rear-Wheel Drive,Model 3,2022.0,BC,1085.0,10.0,430.0,45000
48499,All-Wheel Drive,Model Y,2022.0,QC,1062.0,10.0,488.0,51505
32995,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,43094
53500,All-Wheel Drive,Model Y,2022.0,BC,1062.0,10.0,531.0,48000
43507,All-Wheel Drive,Model 3,2023.0,QC,1085.0,11.5,576.0,24000
32490,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,65388
29888,All-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,499.0,78138
28996,Rear-Wheel Drive,Model 3,2018.0,BC,1085.0,12.0,499.0,108252
47999,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,35002
47999,All-Wheel Drive,Model Y,2023.0,ON,1062.0,11.5,531.0,57073
43993,All-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,481.0,37800
30409,Rear-Wheel Drive,Model 3,2018.0,BC,1085.0,12.0,354.0,72303
40910,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,74058
25888,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,80000
37771,All-Wheel Drive,Model Y,2021.0,QC,1062.0,10.0,509.0,101988
39995,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,87670
34990,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,40860
26800,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,61500
28489,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,98237
39880,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,85488
48995,All-Wheel Drive,Model Y,2023.0,BC,1062.0,11.5,531.0,71466
43495,Rear-Wheel Drive,Model Y,2023.0,QC,1064.0,9.4,418.0,13348
51995,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,488.0,39983
32995,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,58000
38093,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,481.0,69072
46977,All-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,507.0,23000
23988,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,110000
29900,Rear-Wheel Drive,Model 3,2018.0,BC,1085.0,12.0,499.0,104500
30995,unknown,Model 3,2019.0,BC,1085.0,10.0,430.0,58372
30887,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,70393
31800,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,73650
23888,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,124550
30995,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,45451
26999,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,99279
41999,All-Wheel Drive,Model X,2016.0,BC,1046.0,12.0,414.0,153000
37498,All-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,538.0,60090
56888,All-Wheel Drive,Model S,2020.0,ON,1085.0,12.0,629.0,48000
34995,Rear-Wheel Drive,Model 3,2022.0,BC,1085.0,10.0,430.0,70414
53948,All-Wheel Drive,Model Y,2023.0,ON,1062.0,11.5,531.0,18039
28995,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,77991
27995,Rear-Wheel Drive,Model 3,2018.0,ON,1085.0,12.0,499.0,109058
33590,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,60121
29995,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,43000
30742,Rear-Wheel Drive,Model 3,2019.0,BC,1085.0,10.0,386.0,52596
23997,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,110021
65995,All-Wheel Drive,Model X,2020.0,BC,1046.0,12.0,528.0,97275
36999,All-Wheel Drive,Model Y,2020.0,ON,1062.0,10.0,509.0,100461
23995,All-Wheel Drive,Model 3,2019.0,QC,1085.0,10.0,499.0,155970
31995,Rear-Wheel Drive,Model 3,2021.0,QC,1085.0,10.0,430.0,61978
27800,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,76290
41800,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,531.0,84388
56900,All-Wheel Drive,Model Y,2024.0,ON,1062.0,9.0,499.0,22800
34800,All-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,568.0,73668
27988,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,85000
30886,All-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,499.0,61000
27880,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,120800
34990,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,42700
25498,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,84173
26480,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,68500
37500,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,39390
19900,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,175400
25889,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,113688
22995,All-Wheel Drive,Model 3,2018.0,ON,1085.0,10.0,499.0,143866
48999,All-Wheel Drive,Model Y,2022.0,QC,1062.0,10.0,488.0,58175
32891,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,59326
31800,All-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,499.0,65000
25993,Rear-Wheel Drive,Model 3,2021.0,QC,1085.0,10.0,430.0,109498
32498,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,40746
32999,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,41470
63850,All-Wheel Drive,Model 3,2023.0,BC,1085.0,10.0,507.0,9045
