title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2020 Tesla Model X Long Range AWD,"$77,998","Kamloops, BC","36,542",All-Wheel Drive,White,Black,2.445 L/100km,Electric,12 hr,528 km,Tesla,Model X,2020.0,Long Range AWD,SUV / Crossover,White,Black,"36,542 km",Used,5YJXCDE22LF303584,M25007A,2.4 L/100km,2.4 L/100km,2.5 L/100km,Electric,100 kWh,12 hr,528 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,543 L,,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$31,995","Toronto, ON","67,025",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,,"67,025 km",Used,5YJ3E1EA3LF780037,A3LF780037,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model Y Long Range AWD,"$42,995","Trois-Rivieres, QC","88,000",All-Wheel Drive,White,White,1.99 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2020.0,Long Range AWD,SUV / Crossover,White,White,"88,000 km",Used,5YJYGDEE0LF036576,6576,2 L/100km,1.9 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2019 Tesla Model 3 Long Range AWD,"$29,880","Grimsby, ON • Home delivery available","126,236",All-Wheel Drive,Black,Black,,Electric,10 hr,499 km,Tesla,Model 3,2019.0,Long Range AWD,Sedan,Black,Black,"126,236 km",Used,5YJ3E1EB5KF214131,N24080A,,,,Electric,75 kWh,10 hr,499 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,1-Speed Automatic,,,,,,,,
2018 Tesla Model 3 Long Range AWD,"$26,495","Hamilton, ON","169,244",All-Wheel Drive,Gray,Black,2.045 L/100km,Electric,10 hr,499 km,Tesla,Model 3,2018.0,Long Range AWD,Sedan,Gray,Black,"169,244 km",Used,5YJ3E1EB1JF107401,,2 L/100km,2 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,499 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2021 Tesla Model Y Standard Range RWD,"$36,799","Toronto, ON","112,000",Rear-Wheel Drive,White,Black,1.945 L/100km,Electric,10 hr,393 km,Tesla,Model Y,2021.0,Standard Range RWD,SUV / Crossover,White,Black,"112,000 km",Used,5YJYGAEDXMF133372,21MYW,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,393 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2020 Tesla Model Y Long Range AWD,"$42,988","Calgary, AB","59,512",All-Wheel Drive,,,1.99 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2020.0,Long Range AWD,SUV / Crossover,,,"59,512 km",Used,5YJYGDEE0LF021527,021527,2 L/100km,1.9 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,509 km,,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2022 Tesla Model S Plaid AWD,"$129,991","Sudbury, ON","30,000",All-Wheel Drive,White,Black,,Electric,15 hr,637 km,Tesla,Model S,2022.0,Plaid AWD,Sedan,White,Black,"30,000 km",Used,5YJSA1E69NF478094,12980,,,,Electric,100 kWh,15 hr,637 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1077 mm,902 mm,798 L,1-Speed Automatic,,,,,,,,
2020 Tesla Model 3 Performance AWD,"$38,388","Toronto, ON • Home delivery available","98,000",All-Wheel Drive,White,Black,1.945 L/100km,Electric,10 hr,481 km,Tesla,Model 3,2020.0,Performance AWD,Sedan,White,Black,"98,000 km",Used,5YJ3E1EC1LF626881,2855,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,481 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2014 Tesla Model S P85 RWD,"$24,888","Coquitlam, BC","189,101",Rear-Wheel Drive,Blue,,2.655 L/100km,Electric,12 hr,407 km,Tesla,Model S,2014.0,P85 RWD,Sedan,Blue,,"189,101 km",Used,5YJSA1H11EFP52436,P52436,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,85 kWh,12 hr,407 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,Automatic,,,,,,,,
